Keyword,Match_type,Campaign,Ad_group,Year,Quality_score,Month,Cost,Impressions,Clicks,CTR,Conversions,All_conv_value,Value_per_conv,Search_impr_share
hotel in lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,8.73,432,2,0.46,0.0,0.0,0.0,51.02
hotel in lisbon portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
hotel in lisbon portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,146,0,0.0,0.0,0.0,0.0,60.17
hotel in lisbon,Exact match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,4,0,0.0,0.0,0.0,0.0,100.0
hotel in lisbon,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,6.39,224,1,0.45,0.0,0.0,0.0,85.6
hotel in lisbon portugal,Exact match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,4,0,0.0,0.0,0.0,0.0,100.0
hotel in lisbon portugal,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,199,0,0.0,0.0,0.0,0.0,78.4
hotel rooms in lisbon,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,
booking lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,42.86
boutique hotel lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
boutique hotel lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,5.96,91,1,1.1,1.0,0.0,0.0,45.0
lisbon boutique hotel,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,66.67
boutique hotel portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
boutique hotel portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,25.0
visiting lisbon portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,9,0,0.0,0.0,0.0,0.0,25.0
lisbon city hotel,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,19,0,0.0,0.0,0.0,0.0,5.0
best hotels in lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,8,0,0.0,0.0,0.0,0.0,5.0
best hotel in lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,10.0
best hotel lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,25.0
best hotel lisbon,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,44,0,0.0,0.0,0.0,0.0,35.48
Lisbon hotel Portugal,Phrase match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,100.0
hotel_brand property_2 hotel,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,35,0,0.0,0.0,0.0,0.0,58.14
hotel hotel_brand property_2,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,4,0,0.0,0.0,0.0,0.0,100.0
hotel_brand property_2,Exact match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,15,0,0.0,0.0,0.0,0.0,87.5
 +hotels +lisbon,Broad match,Search_Brand_USA,Geral,2015,,2015-03-01,50.17,5934,10,0.17,7.0,0.0,0.0,64.55
 +hotel +lisbon,Broad match,Search_Brand_USA,Geral,2015,,2015-03-01,70.29,3687,13,0.35,10.0,0.0,0.0,30.8
 +design +hotel +lisbon,Broad match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,22,0,0.0,0.0,0.0,0.0,5.0
 +hotel_brand +santa +marta,Broad match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,37,0,0.0,0.0,0.0,0.0,81.4
 +romantic +hotel +lisbon,Broad match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,5.0
 +trendy +hotel +lisbon,Broad match,Search_Brand_USA,Geral,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
spas lisbon,Phrase match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,9,0,0.0,0.0,0.0,0.0,69.23
spa lisbon,Phrase match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,16,0,0.0,0.0,0.0,0.0,32.56
Lisbon spa hotels,Phrase match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
spas in lisbon,Phrase match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,8,0,0.0,0.0,0.0,0.0,80.0
 +hotel +spa +portugal,Broad match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,31,0,0.0,0.0,0.0,0.0,15.03
 +hotel +spa +lisbon,Broad match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,5.0
 +hotel +hotel_brand +santa +marta +spa,Broad match,Search_Brand_USA,Spa,2015,,2015-02-01,0.77,1,1,100.0,0.0,0.0,0.0,100.0
 +hotel +hotel_brand +santa +marta +spa,Broad match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,4,0,0.0,0.0,0.0,0.0,80.0
 +hotel_brand +spa,Broad match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,5.0
Spa hotels in lisbon,Phrase match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,50.0
best spas in lisbon,Phrase match,Search_Brand_USA,Spa,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
 +hotel +downtown +lisbon,Broad match,Search_Brand_USA,Location,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
 +hotel +downtown +lisbon,Broad match,Search_Brand_USA,Location,2015,,2015-03-01,0.0,10,0,0.0,0.0,0.0,0.0,40.91
 +hotel +baixa +lisbon,Broad match,Search_Brand_USA,Location,2015,,2015-02-01,0.0,2,0,0.0,0.0,0.0,0.0,20.0
 +hotel +baixa +lisbon,Broad match,Search_Brand_USA,Location,2015,,2015-03-01,0.0,13,0,0.0,0.0,0.0,0.0,55.0
 +hotel +property_1 +lisbon,Broad match,Search_Brand_USA,Location,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,5.0
 +hotel +chiado +lisbon,Broad match,Search_Brand_USA,Location,2015,,2015-03-01,0.0,7,0,0.0,0.0,0.0,0.0,16.28
hotel santa justa lisbon,Exact match,Search_Brand_USA,Location,2015,,2015-03-01,0.0,20,0,0.0,0.0,0.0,0.0,73.08
 +hotel +avenida +lisbon,Broad match,Search_Brand_USA,Location,2015,,2015-03-01,0.0,16,0,0.0,0.0,0.0,0.0,5.0
 +hotel +lisbon +castle,Broad match,Search_Brand_USA,Location,2015,,2015-03-01,0.0,7,0,0.0,0.0,0.0,0.0,62.5
cheap hotels lisbon,Exact match,Search_Brand_USA,Preço,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,5.0
hotel no centro de lisboa,Phrase match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,8,0,0.0,0.0,0.0,0.0,28.57
hotel lisboa bairro alto,Phrase match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,25.0
hotel bairro alto lisboa,Phrase match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,36,0,0.0,0.0,0.0,0.0,76.6
 +hotel +tejo +lisboa,Broad match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,25.0
 +hotel +lisboa +centro,Broad match,Search_Brand_BR,Localização,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,5.0
 +hotel +lisboa +centro,Broad match,Search_Brand_BR,Localização,2015,,2015-03-01,2.09,12,1,8.33,1.0,0.0,0.0,36.36
 +hotel +rio +lisboa,Broad match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,18,0,0.0,0.0,0.0,0.0,60.71
 +hotel +avenida +lisboa,Broad match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,21,0,0.0,0.0,0.0,0.0,33.33
 +hotel +rossio +lisboa,Broad match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,6,0,0.0,0.0,0.0,0.0,42.86
 +hotel +pombal +lisboa,Broad match,Search_Brand_BR,Localização,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
 +hotel +pombal +lisboa,Broad match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,20.0
hotel santa justa lisboa,Phrase match,Search_Brand_BR,Localização,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,33.33
hotel santa justa lisboa,Phrase match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,33,0,0.0,0.0,0.0,0.0,70.27
 +hotel +lisboa +santa +justa,Broad match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
 +hotel +metro +lisboa,Broad match,Search_Brand_BR,Localização,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
 +hotel +metro +lisboa,Broad match,Search_Brand_BR,Localização,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,20.0
 +hotel +spa +lisboa,Broad match,Search_Brand_BR,Spa,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,42.86
 +hotel +spa +portugal,Broad match,Search_Brand_BR,Spa,2015,,2015-03-01,2.94,20,1,5.0,1.0,0.0,0.0,35.09
 +spa +hotel_brand +santa +marta,Broad match,Search_Brand_BR,Spa,2015,,2015-03-01,1.57,9,3,33.33,3.0,0.0,0.0,100.0
property_2 hotel,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,5.0
property_2 hotel,Broad match,Search_Brand_BR,Geral,2015,,2015-04-01,0.0,1,0,0.0,0.0,0.0,0.0,20.0
hotel lisboa portugal,Phrase match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,16.67
hotel lisboa portugal,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,17,0,0.0,0.0,0.0,0.0,10.43
hotel em lisboa,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,13.44,1335,5,0.37,5.0,0.0,0.0,87.88
hotel lisboa portugal,Exact match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,4,0,0.0,0.0,0.0,0.0,60.0
hotel lisboa portugal,Exact match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,158,0,0.0,0.0,0.0,0.0,59.72
hotel em lisboa,Exact match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,9,0,0.0,0.0,0.0,0.0,14.75
hotel em lisboa,Exact match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,304,0,0.0,0.0,0.0,0.0,37.2
hotel portugal lisboa,Exact match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,2,0,0.0,0.0,0.0,0.0,5.0
hotel portugal lisboa,Exact match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,45,0,0.0,0.0,0.0,0.0,52.63
hotel em lisboa portugal,Exact match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,13,0,0.0,0.0,0.0,0.0,5.0
hotel em lisboa portugal,Exact match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,87,0,0.0,0.0,0.0,0.0,22.5
hotel em lisboa portugal,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,8,0,0.0,0.0,0.0,0.0,14.81
boutique hotel lisboa,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,12.5
hotel boutique lisboa,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,6,0,0.0,0.0,0.0,0.0,54.55
hotel boutique portugal,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,25.0
melhor hotel de lisboa,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,4,0,0.0,0.0,0.0,0.0,21.05
hoteis de charme em lisboa,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,4,0,0.0,0.0,0.0,0.0,100.0
hotel hotel_brand property_2,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.21,25,1,4.0,0.0,0.0,0.0,83.33
hotel_brand property_2 hotel,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,28,0,0.0,0.0,0.0,0.0,71.79
onde ficar em lisboa,Phrase match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,6,0,0.0,0.0,0.0,0.0,60.0
onde ficar em lisboa,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,4.03,176,2,1.14,2.0,0.0,0.0,68.24
 +hotel +lisboa,Broad match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,124,0,0.0,0.0,0.0,0.0,30.82
 +hotel +lisboa,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,69.85,7084,29,0.41,24.0,0.0,0.0,55.17
hotel_brand property_2,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,11,0,0.0,0.0,0.0,0.0,52.38
 +hoteis +lisboa,Broad match,Search_Brand_BR,Geral,2015,,2015-02-01,1.84,175,1,0.57,1.0,0.0,0.0,28.18
 +hoteis +lisboa,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,47.48,7655,18,0.24,14.0,0.0,0.0,63.71
 +hotel_brand +santa +marta,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,4.01,6,3,50.0,4.0,0.0,0.0,75.0
 +hotel +charme +portugal,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,6,0,0.0,0.0,0.0,0.0,75.0
hoteis de charme em portugal,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,75.0
 +hotel +boutique +lisboa,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,12,0,0.0,0.0,0.0,0.0,47.62
 +hotel +luxo +lisboa,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,25.0
melhor hotel em lisboa,Phrase match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,33.33
melhor hotel em lisboa,Phrase match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,6,0,0.0,0.0,0.0,0.0,16.0
 +hotel +design +lisboa,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,11,0,0.0,0.0,0.0,0.0,22.0
onde se hospedar em lisboa,Exact match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,2,0,0.0,0.0,0.0,0.0,66.67
onde se hospedar em lisboa,Exact match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,76,0,0.0,0.0,0.0,0.0,77.32
 +hotel +boutique +portugal,Broad match,Search_Brand_BR,Geral,2015,,2015-02-01,0.0,1,0,0.0,0.0,0.0,0.0,25.0
 +hotel +boutique +portugal,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,2.95,63,1,1.59,1.0,0.0,0.0,79.22
onde hospedar em lisboa,Exact match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,40.0
 +hotel +site +lisboa,Broad match,Search_Brand_BR,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,33.33
 +hotel +reunião +portugal,Broad match,Search_Brand_BR,Negócios,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
hoteis baratos em lisboa,Phrase match,Search_Brand_BR,Preço,2015,,2015-03-01,0.0,16,0,0.0,0.0,0.0,0.0,80.0
hotel barato em lisboa,Phrase match,Search_Brand_BR,Preço,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,5.0
 +ecoturismo +portugal,Broad match,Search_Brand_BR,Feng Shui / Eco,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
feng shui portugal,Phrase match,Search_Brand_BR,Feng Shui / Eco,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,33.33
feng shui lisboa,Phrase match,Search_Brand_BR,Feng Shui / Eco,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
 +feng +shui +portugal,Broad match,Search_Brand_BR,Feng Shui / Eco,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,42.86
 +hotel +ecologico +portugal,Broad match,Search_Brand_BR,Feng Shui / Eco,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,
hotel lisboa,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,9.88,1695,5,0.29,3.0,0.0,0.0,23.35
hotel lisboa,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,3.68,497,2,0.4,2.0,0.0,0.0,21.24
hotel en lisboa,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,29.77,775,12,1.55,9.0,0.0,0.0,44.62
hotel lisboa portugal,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,5.0
hotel en lisboa,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,2.74,1555,1,0.06,1.0,0.0,0.0,22.42
hotel portugal lisboa,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,38,0,0.0,0.0,0.0,0.0,21.3
alojamiento en lisboa,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,9.81,237,4,1.69,4.0,0.0,0.0,27.02
hoteles con encanto lisboa,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,4,0,0.0,0.0,0.0,0.0,5.0
hotel en lisboa portugal,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,8,0,0.0,0.0,0.0,0.0,37.5
hotel en lisboa portugal,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,5.0
hoteles con encanto lisboa,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,46,0,0.0,0.0,0.0,0.0,21.7
hotel 4 estrellas lisboa,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
hotel boutique lisboa,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,16,0,0.0,0.0,0.0,0.0,25.0
hotel con encanto lisboa,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,15.63
hotel boutique portugal,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,5.0
mejor hotel en lisboa,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,10.34
mejor hotel en lisboa,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,5.0
hotel_brand property_2 hotel,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,22,0,0.0,0.0,0.0,0.0,62.86
hotel hotel_brand property_2,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,1.08,26,2,7.69,2.0,0.0,0.0,68.42
hotel hotel_brand property_2,Exact match,Search_Brand_ESP,Geral,2015,,2015-04-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
hotel hotel_brand property_2,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,19,0,0.0,0.0,0.0,0.0,36.54
hotel_brand property_2,Exact match,Search_Brand_ESP,Geral,2015,,2015-03-01,1.36,33,2,6.06,2.0,0.0,0.0,51.56
hotel_brand property_2 hotel,Phrase match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.89,64,1,1.56,1.0,0.0,0.0,59.62
 +hotel +lisboa,Broad match,Search_Brand_ESP,Geral,2015,,2015-03-01,34.31,4390,15,0.34,12.0,0.0,0.0,17.5
 +hoteles +lisboa,Broad match,Search_Brand_ESP,Geral,2015,,2015-03-01,68.21,13793,27,0.2,19.0,0.0,0.0,32.15
 +hotel_brand +santa +marta,Broad match,Search_Brand_ESP,Geral,2015,,2015-03-01,1.11,17,1,5.88,0.0,0.0,0.0,58.62
 +hotel +diseño +lisboa,Broad match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,25.0
 +hotel +romantico +lisboa,Broad match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,14.29
 +hotel +boutique +lisboa,Broad match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,28,0,0.0,0.0,0.0,0.0,23.42
 +hotel +design +lisboa,Broad match,Search_Brand_ESP,Geral,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,5.0
 +hotel +boutique +portugal,Broad match,Search_Brand_ESP,Geral,2015,,2015-03-01,3.13,65,1,1.54,1.0,0.0,0.0,45.45
hotel spa portugal,Phrase match,Search_Brand_ESP,Spa,2015,,2015-03-01,0.0,37,0,0.0,0.0,0.0,0.0,27.13
spa hotel lisboa,Exact match,Search_Brand_ESP,Spa,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
spa lisboa,Phrase match,Search_Brand_ESP,Spa,2015,,2015-03-01,1.21,18,1,5.56,1.0,0.0,0.0,29.82
spa lisboa,Exact match,Search_Brand_ESP,Spa,2015,,2015-03-01,1.81,18,1,5.56,0.0,0.0,0.0,30.0
 +spa +hotel +lisboa,Broad match,Search_Brand_ESP,Spa,2015,,2015-03-01,3.2,104,1,0.96,0.0,0.0,0.0,38.43
 +hotel +jacuzzi +lisboa,Broad match,Search_Brand_ESP,Spa,2015,,2015-03-01,0.0,4,0,0.0,0.0,0.0,0.0,23.53
 +spa +lisboa,Broad match,Search_Brand_ESP,Spa,2015,,2015-03-01,4.21,43,2,4.65,2.0,0.0,0.0,32.56
 +spa +hotel +portugal,Broad match,Search_Brand_ESP,Spa,2015,,2015-03-01,10.45,343,4,1.17,4.0,0.0,0.0,45.86
 +spa +hotel_brand +santa +marta,Broad match,Search_Brand_ESP,Spa,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,75.0
property_2 hotel,Broad match,Search_Brand_BR_2,Brand,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,5.0
hotel_brand property_2 hotel,Phrase match,Search_Brand_BR_2,Brand,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
hotel lisboa,Phrase match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-03-01,0.0,12,0,0.0,0.0,0.0,0.0,5.0
hotel lisboa,Phrase match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-04-01,0.0,2,0,0.0,0.0,0.0,0.0,28.57
hotel no centro de lisboa,Phrase match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,14.29
 +hotel +lisboa,Broad match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-03-01,0.08,25,1,4.0,0.0,0.0,0.0,5.0
 +hotel +lisboa +centro,Broad match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,17.24
 +hotel +baixa +lisboa,Broad match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,20.0
 +hoteis +lisboa,Broad match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,5.0
 +hotel +avenida +lisboa,Broad match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,5.0
centro de lisboa turismo,Phrase match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
 +hotel +metro +lisboa,Broad match,Search_Brand_BR_2,Centro de Lisboa,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,100.0
feng shui quarto,Exact match,Search_Brand_BR_2,Feng Shui,2015,,2015-03-01,0.0,9,0,0.0,0.0,0.0,0.0,5.0
 +quarto +feng +shui,Broad match,Search_Brand_BR_2,Feng Shui,2015,,2015-03-01,0.0,3,0,0.0,0.0,0.0,0.0,5.0
hotel lisboa,Phrase match,Remarketing_BR,Geral,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,5.0
hotel lisboa,Phrase match,Remarketing_BR,Geral,2015,,2015-04-01,0.0,3,0,0.0,0.0,0.0,0.0,18.75
hotel hotel_brand property_2,Phrase match,Remarketing_BR,Geral,2015,,2015-03-01,0.0,2,0,0.0,0.0,0.0,0.0,100.0
 +hotel +lisboa,Broad match,Remarketing_BR,Geral,2015,,2015-03-01,0.0,6,0,0.0,0.0,0.0,0.0,5.0
hotel hotel_brand,Phrase match,Remarketing_BR,Geral,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,25.0
hotel lisboa,Phrase match,Remarketing_ESP,Geral,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,5.0
hoteles en lisboa,Phrase match,Remarketing_ESP,Geral,2015,,2015-03-01,0.0,6,0,0.0,0.0,0.0,0.0,5.0
boutique hotel lisboa,Phrase match,Search_Brand_BR_2,Boutique Hotel,2015,,2015-03-01,0.0,5,0,0.0,0.0,0.0,0.0,50.0
hotel boutique lisboa,Phrase match,Search_Brand_BR_2,Boutique Hotel,2015,,2015-03-01,0.0,1,0,0.0,0.0,0.0,0.0,50.0
lisbon city break,Exact match,Brand_CityBreak_Europe,City Break Lisbon,2020,,2020-01-01,45.39,365,22,6.03,0.0,0.0,0.0,57.1
city break deals to lisbon,Exact match,Brand_CityBreak_Europe,City Break Lisbon,2020,,2020-01-01,0.0,10,0,0.0,0.0,0.0,0.0,38.46
city breaks to lisbon portugal,Exact match,Brand_CityBreak_Europe,City Break Lisbon,2020,,2020-01-01,5.7,47,2,4.26,0.0,0.0,0.0,48.96
hotel_brand property_2 hotel,Exact match,Sales_UK_IE,Marca UK,2020,,2020-01-01,40.33,145,32,22.07,0.0,1.0,0.0,87.35
hotel_brand property_2 hotel,Exact match,Sales_UK_IE,Marca UK,2020,,2020-02-01,22.84,65,12,18.46,0.0,0.0,0.0,64.36
hotel_brand property_2 hotel,Exact match,Sales_UK_IE,Marca UK,2020,,2020-03-01,3.0,58,5,8.62,0.0,0.0,0.0,90.63
hotel_brand property_2 hotel,Exact match,Sales_UK_IE,Marca UK,2020,,2020-04-01,1.63,16,4,25.0,0.0,0.0,0.0,72.73
hotel_brand property_2 hotel,Exact match,Sales_UK_IE,Marca UK,2020,,2020-05-01,3.82,31,12,38.71,0.0,0.0,0.0,68.18
hotel_brand property_2 hotel,Exact match,Sales_UK_IE,Marca UK,2020,,2020-06-01,2.85,38,13,34.21,1.0,4.0,0.0,57.58
hotel_brand property_2 hotel,Exact match,Sales_UK_IE,Marca UK,2020,,2020-07-01,14.63,39,11,28.21,0.0,0.0,0.0,63.93
hotel_brand property_2 hotel,Exact match,Sales_UK_IE,Marca UK,2020,,2020-08-01,20.62,41,13,31.71,0.0,0.0,0.0,65.08
