Month,Year,Campaign_type,Campaign,Ad_group,Impressions,Clicks,Conversions,Value_per_conv,All_conv_rate,All_conv_value,CTR,Search_impr_share,Cost
2022-07-01,2022,Search,Sales_PT,Marca Liberdade PT,1474,300,17.0,1.29,22.67,1.07,20.35,59.74,47.33
2022-07-01,2022,Demand Gen,Brand_Discovery_UK,Planning_Trip_Lisbon_UK,5876,280,0.0,0.0,0.43,1.0,4.77,,60.71
2022-08-01,2022,Search,Sales_FR_BE_CH,Marca_Antiga FR,101,20,0.0,0.0,15.0,4.0,19.8,62.66,8.67
2022-08-01,2022,Search,Sales_FR_BE_CH,Marca_Nova_FR,386,99,2.0,0.0,44.44,1.16,25.65,65.18,53.88
2022-08-01,2022,Search,Restaurant_PT,Restaurante sem gluten,4,0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
2022-08-01,2022,Search,Restaurant_PT,Restaurante perto de mim,396,51,0.0,0.0,0.0,0.0,12.88,47.14,49.69
2022-08-01,2022,Search,Brand_Awareness_FR,Hotel Charme,346,44,0.0,0.0,0.0,0.0,12.72,27.18,40.26
2022-08-01,2022,Search,Brand_Awareness_FR,Hotel Spa Lisbonne,260,34,0.0,0.0,0.0,0.0,13.08,15.02,20.74
2022-08-01,2022,Search,Sales_ESP,Marca_Antiga ESP,136,35,0.0,0.0,8.57,1.0,25.74,76.16,10.83
2022-08-01,2022,Search,Sales_ESP,Marca_Nova_ESP,416,119,4.0,2.75,24.37,1.24,28.61,79.88,56.81
2022-08-01,2022,Demand Gen,Brand_Discovery_DE_NL_CH_BE,Last Minute DE,5924,139,0.0,0.0,0.0,0.0,2.35,,33.29
2022-08-01,2022,Search,Brand_Awareness_ESP,Hotel con encanto,461,103,0.0,0.0,0.0,0.0,22.34,36.93,77.1
2022-08-01,2022,Search,Brand_Awareness_ESP,Escapadas Lisboa,162,15,0.0,0.0,0.0,0.0,9.26,5.0,13.55
2022-08-01,2022,Demand Gen,Brand_Discovery_USA,Lisbon Vacations,10793,340,0.0,0.0,0.73,1.0,3.15,,122.03
2022-08-01,2022,Search,Sales_PT,Marca Sta Marta PT,415,102,5.0,2.8,17.65,1.5,24.58,50.89,21.46
2022-08-01,2022,Search,Sales_PT,Marca Liberdade PT,1373,299,6.0,0.67,24.41,0.97,21.78,56.96,47.01
2022-08-01,2022,Demand Gen,Brand_Discovery_UK,Planning_Trip_Lisbon_UK,4412,224,0.0,0.0,0.0,0.0,5.08,,61.32
2022-08-01,2022,Search,Restaurant_ENG,Restaurants near me,534,30,0.0,0.0,0.0,0.0,5.62,32.22,47.84
2022-09-01,2022,Search,Sales_UK_IE,Marca Liberdade UK,53,12,0.0,0.0,16.67,5.5,22.64,65.79,12.65
2022-09-01,2022,Search,Sales_FR_BE_CH,Marca_Antiga FR,101,32,0.0,0.0,3.13,1.0,31.68,58.72,11.59
2022-09-01,2022,Search,Sales_FR_BE_CH,Marca_Nova_FR,307,70,1.0,0.0,25.71,0.94,22.8,71.56,45.7
2022-09-01,2022,Search,Brand_Awareness_FR,Hotel Charme,381,41,0.0,0.0,2.44,1.0,10.76,27.75,42.56
2022-09-01,2022,Search,Brand_Awareness_FR,Hotel Spa Lisbonne,269,28,0.0,0.0,0.0,0.0,10.41,13.85,18.22
2022-09-01,2022,Search,Sales_ESP,Marca_Antiga ESP,153,59,0.0,0.0,16.95,1.0,38.56,83.61,19.07
2022-09-01,2022,Search,Sales_ESP,Marca_Nova_ESP,338,99,2.0,0.0,19.19,0.89,29.29,81.45,55.58
2022-09-01,2022,Demand Gen,Brand_Discovery_DE_NL_CH_BE,Last Minute DE,11392,257,0.0,0.0,0.0,0.0,2.26,,35.41
2022-09-01,2022,Search,Brand_Awareness_ESP,Hotel con encanto,417,87,0.0,0.0,0.0,0.0,20.86,45.12,82.8
2022-09-01,2022,Search,Brand_Awareness_ESP,Escapadas Lisboa,131,10,0.0,0.0,0.0,0.0,7.63,10.65,5.38
2022-09-01,2022,Demand Gen,Brand_Discovery_USA,Lisbon Vacations,8407,343,0.0,0.0,0.82,1.0,4.08,,116.75
2022-09-01,2022,Search,Sales_PT,Marca Sta Marta PT,543,136,17.0,0.94,24.27,0.97,25.05,52.77,27.41
2022-09-01,2022,Search,Sales_PT,Marca Liberdade PT,1641,352,18.0,1.33,18.75,1.09,21.45,58.87,59.27
2022-09-01,2022,Demand Gen,Brand_Discovery_UK,Planning_Trip_Lisbon_UK,9839,277,1.0,0.0,0.26,0.75,2.82,,109.2
2022-09-01,2022,Search,Restaurant_ENG,Restaurants near me,1073,66,0.0,0.0,0.0,0.0,6.15,34.58,64.85
2022-10-01,2022,Search,Sales_UK_IE,Marca Liberdade UK,133,41,2.0,0.0,9.76,0.5,30.83,70.33,90.92
2022-10-01,2022,Search,Sales_FR_BE_CH,Marca_Antiga FR,127,35,0.0,0.0,14.29,1.0,27.56,56.44,13.12
2022-10-01,2022,Search,Sales_FR_BE_CH,Marca_Nova_FR,305,81,3.0,0.0,35.8,1.21,26.56,70.63,47.68
2022-10-01,2022,Search,Brand_Awareness_FR,Hotel Charme,350,32,0.0,0.0,0.0,0.0,9.14,28.75,31.08
2022-10-01,2022,Search,Brand_Awareness_FR,Hotel Spa Lisbonne,450,48,0.0,0.0,0.0,0.0,10.67,16.9,29.77
2022-10-01,2022,Search,Sales_ESP,Marca_Antiga ESP,122,34,1.0,0.0,138.24,0.98,27.87,85.31,15.15
2022-10-01,2022,Search,Sales_ESP,Marca_Nova_ESP,241,67,1.0,0.0,47.76,0.97,27.8,86.86,42.42
2022-10-01,2022,Demand Gen,Brand_Discovery_DE_NL_CH_BE,Last Minute DE,33636,337,0.0,0.0,0.41,1.0,1.0,,57.19
2022-10-01,2022,Search,Brand_Awareness_ESP,Hotel con encanto,440,90,0.0,0.0,0.0,0.0,20.45,52.51,83.0
2022-10-01,2022,Search,Brand_Awareness_ESP,Escapadas Lisboa,211,20,0.0,0.0,0.0,0.0,9.48,15.22,8.12
2022-10-01,2022,Demand Gen,Brand_Discovery_USA,Lisbon Vacations,9469,296,0.0,0.0,0.0,0.0,3.13,,122.52
2022-10-01,2022,Search,Sales_PT,Marca Sta Marta PT,613,191,7.0,1.0,13.09,1.0,31.16,58.49,39.67
2022-10-01,2022,Search,Sales_PT,Marca Liberdade PT,1629,425,21.0,1.95,34.82,1.14,26.09,64.83,67.52
2022-10-01,2022,Demand Gen,Brand_Discovery_UK,Planning_Trip_Lisbon_UK,15935,269,0.0,0.0,0.1,1.0,1.69,,122.94
2022-10-01,2022,Search,Restaurant_ENG,Restaurants near me,1202,74,0.0,0.0,0.0,0.0,6.16,34.74,63.0
2022-11-01,2022,Search,Sales_UK_IE,Marca Liberdade UK,123,47,0.0,0.0,21.28,2.8,38.21,73.94,90.96
2022-11-01,2022,Search,Sales_FR_BE_CH,Marca_Antiga FR,79,15,0.0,0.0,26.67,1.0,18.99,45.93,9.27
2022-11-01,2022,Search,Sales_FR_BE_CH,Marca_Nova_FR,521,114,1.0,0.0,13.16,0.93,21.88,65.87,49.67
2022-11-01,2022,Search,Restaurant_PT,Restaurante Grupos,55,6,0.0,0.0,0.0,0.0,10.91,100.0,6.74
2022-11-01,2022,Search,Brand_Awareness_FR,Hotel Charme,284,24,0.0,0.0,0.0,0.0,8.45,27.39,30.02
2022-11-01,2022,Search,Brand_Awareness_FR,Hotel Spa Lisbonne,398,52,0.0,0.0,0.0,0.0,13.07,13.39,30.95
2022-11-01,2022,Demand Gen,Brand_Discovery_ESP,Discovery_Interesses_ESP,50083,5595,0.0,0.0,0.69,1.0,11.17,,87.63
2022-11-01,2022,Search,Sales_ESP,Marca_Antiga ESP,71,29,0.0,0.0,3.45,1.0,40.85,76.34,10.66
2022-11-01,2022,Search,Sales_ESP,Marca_Nova_ESP,444,115,6.0,3.83,26.09,1.57,25.9,85.1,43.85
2022-11-01,2022,Demand Gen,Brand_Discovery_DE_NL_CH_BE,Last Minute DE,1912,45,0.0,0.0,0.0,0.0,2.35,,7.61
2022-11-01,2022,Search,Brand_Awareness_ESP,Hotel con encanto,442,102,0.0,0.0,3.92,1.0,23.08,53.45,88.08
2022-11-01,2022,Search,Brand_Awareness_ESP,Escapadas Lisboa,212,23,0.0,0.0,0.0,0.0,10.85,15.69,15.09
2022-11-01,2022,Demand Gen,Brand_Discovery_USA,Lisbon Vacations,9701,362,0.0,0.0,0.69,1.0,3.73,,122.1
2022-11-01,2022,Search,Sales_PT,Marca Sta Marta PT,530,175,12.35,0.92,15.05,0.96,33.02,57.0,28.1
2022-11-01,2022,Search,Sales_PT,Marca Liberdade PT,1301,361,12.02,1.33,28.26,1.04,27.75,58.37,47.78
2022-11-01,2022,Demand Gen,Brand_Discovery_UK,Planning_Trip_Lisbon_UK,10216,228,0.0,0.0,0.19,1.0,2.23,,86.1
2022-11-01,2022,Search,Restaurant_ENG,Restaurants near me,2472,219,0.0,0.0,0.0,0.0,8.86,22.43,90.35
2022-12-01,2022,Search,Sales_UK_IE,Marca Liberdade UK,109,38,1.0,0.0,10.53,0.75,34.86,61.58,92.62
2022-12-01,2022,Search,Sales_FR_BE_CH,Marca_Antiga FR,78,15,0.0,0.0,0.0,0.0,19.23,54.61,5.33
2022-12-01,2022,Search,Sales_FR_BE_CH,Marca_Nova_FR,486,125,3.0,0.0,36.8,0.93,25.72,62.79,55.36
2022-12-01,2022,Search,Restaurant_PT,Restaurante sem gluten,35,6,0.0,0.0,0.0,0.0,17.14,53.85,5.02
2022-12-01,2022,Search,Restaurant_PT,Jantar Fim Ano,762,105,0.0,0.0,0.0,0.0,13.78,39.09,81.59
2022-12-01,2022,Search,Restaurant_PT,Brunch Ano Novo,209,26,0.0,0.0,0.0,0.0,12.44,41.53,8.52
2022-12-01,2022,Search,Restaurant_PT,Restaurante Grupos,396,67,0.0,0.0,11.94,1.0,16.92,84.05,58.07
2022-12-01,2022,Search,Brand_Awareness_FR,Hotel Charme,189,20,0.0,0.0,5.0,1.0,10.58,28.48,20.45
2022-12-01,2022,Search,Brand_Awareness_FR,Hotel Spa Lisbonne,230,33,0.0,0.0,0.0,0.0,14.35,12.53,19.9
2022-12-01,2022,Search,Brand_Awareness_PT,Boutique Hotel Lisboa,97,31,0.0,0.0,6.45,1.0,31.96,73.64,40.59
2022-12-01,2022,Demand Gen,Brand_Discovery_FR,Offre de Dernière Minute,6054,179,0.0,0.0,0.0,0.0,2.96,,41.7
2022-12-01,2022,Demand Gen,Brand_Discovery_ESP,Discovery_Interesses_ESP,31634,3775,0.0,0.0,0.03,1.0,11.93,,50.43
2022-12-01,2022,Search,Sales_ESP,Marca_Antiga ESP,55,10,0.0,0.0,10.0,1.0,18.18,76.39,5.78
2022-12-01,2022,Search,Sales_ESP,Marca_Nova_ESP,354,127,7.0,5.71,20.47,2.27,35.88,87.16,65.62
2022-12-01,2022,Demand Gen,Brand_Discovery_DE_NL_CH_BE,Last Minute DE,4092,180,0.0,0.0,0.37,1.0,4.4,,72.06
2022-12-01,2022,Search,Brand_Awareness_ESP,Hotel con encanto,321,76,0.0,0.0,0.0,0.0,23.68,62.75,77.8
2022-12-01,2022,Search,Brand_Awareness_ESP,Escapadas Lisboa,163,9,0.0,0.0,0.0,0.0,5.52,20.05,2.96
2022-12-01,2022,Demand Gen,Brand_Discovery_USA,Lisbon Vacations,5917,100,0.0,0.0,0.0,0.0,1.69,,88.88
2022-12-01,2022,Search,Sales_PT,Marca Sta Marta PT,673,242,10.64,1.66,16.79,1.17,35.96,64.71,41.04
2022-12-01,2022,Search,Sales_PT,Marca Liberdade PT,1252,380,35.0,1.06,33.16,1.02,30.35,58.26,80.68
2022-12-01,2022,Demand Gen,Brand_Discovery_UK,Planning_Trip_Lisbon_UK,5367,149,0.0,0.0,0.17,1.0,2.78,,56.71
2022-12-01,2022,Demand Gen,Brand_Discovery_UK,New Year in Lisbon,5592,37,0.0,0.0,0.0,0.0,0.66,,35.74
2022-12-01,2022,Search,Restaurant_ENG,Restaurants near me,1452,106,0.0,0.0,0.0,0.0,7.3,31.09,58.61
2022-12-01,2022,Search,Seasonal_NewYear_PT,Passagem de Ano Hotel,3764,572,0.0,0.0,0.17,1.0,15.2,21.44,179.36
2022-12-01,2022,Demand Gen,Seasonal_NewYear_PT_2,Brand_Discovery_Passagem_Ano,27753,908,0.0,0.0,0.0,0.0,3.27,,104.36
2023-01-01,2023,Search,Sales_UK_IE,Marca Liberdade UK,264,86,8.0,0.0,26.74,1.04,32.58,71.51,93.18
2023-01-01,2023,Search,Sales_FR_BE_CH,Marca_Antiga FR,107,28,0.0,0.0,10.71,1.0,26.17,55.49,8.36
2023-01-01,2023,Search,Sales_FR_BE_CH,Marca_Nova_FR,631,183,8.0,0.0,32.79,1.47,29.0,72.69,50.7
2023-01-01,2023,Search,Restaurant_PT,Restaurante sem gluten,10,3,0.0,0.0,0.0,0.0,30.0,32.26,0.82
2023-01-01,2023,Search,Restaurant_PT,Restaurante perto de mim,592,114,0.0,0.0,0.0,0.0,19.26,35.66,38.57
2023-01-01,2023,Search,Brand_Awareness_FR,Hotel Charme,352,52,0.0,0.0,0.0,0.0,14.77,39.33,44.26
2023-01-01,2023,Search,Brand_Awareness_FR,Hotel Spa Lisbonne,344,39,0.0,0.0,7.69,1.0,11.34,16.45,30.02
2023-01-01,2023,Demand Gen,Brand_Discovery_FR,Offre de Dernière Minute,9276,553,0.0,0.0,0.16,1.0,5.96,,57.06
2023-01-01,2023,Search,Sales_ESP,Marca_Antiga ESP,75,32,1.0,0.0,3.13,0.0,42.67,92.59,13.47
2023-01-01,2023,Search,Sales_ESP,Marca_Nova_ESP,335,122,6.0,1.67,18.03,1.18,36.42,86.3,84.92
2023-01-01,2023,Demand Gen,Brand_Discovery_USA,Lisbon Vacations,10316,299,0.0,0.0,0.13,1.0,2.9,,116.93
2023-01-01,2023,Search,Sales_PT,Marca Sta Marta PT,787,252,10.0,0.7,15.87,0.93,32.02,58.64,28.2
2023-01-01,2023,Search,Sales_PT,Marca Liberdade PT,1881,462,38.0,0.47,23.16,0.81,24.56,54.1,96.98
2023-01-01,2023,Demand Gen,Brand_Discovery_UK,Planning_Trip_Lisbon_UK,9079,576,1.0,0.0,1.38,0.92,6.34,,70.63
2023-02-01,2023,Search,Sales_UK_IE,Marca Liberdade UK,336,82,0.0,0.0,6.1,97.86,24.4,78.82,109.83
2023-02-01,2023,Search,Sales_USA_CA,Marca USA_CA,210,40,0.0,0.0,0.0,0.0,19.05,63.66,114.97
2023-02-01,2023,Search,Sales_FR_BE_CH,Marca_Antiga FR,10,2,0.0,0.0,0.0,0.0,20.0,47.62,0.73
2023-02-01,2023,Search,Sales_FR_BE_CH,Marca_Nova_FR,1116,239,0.0,0.0,12.97,1.0,21.42,52.23,59.22
2023-02-01,2023,Search,Restaurant_PT,Restaurante sem gluten,15,4,0.0,0.0,0.0,0.0,26.67,40.54,1.36
2023-02-01,2023,Search,Restaurant_PT,Restaurante perto de mim,741,150,0.0,0.0,0.0,0.0,20.24,41.77,53.9
2023-02-01,2023,Demand Gen,Brand_Discovery_FR,Offre de Dernière Minute,38410,1294,0.0,0.0,0.0,0.0,3.37,,112.96
2023-02-01,2023,Search,Sales_ESP,Marca_Antiga ESP,15,2,0.0,0.0,0.0,0.0,13.33,88.24,1.62
2023-02-01,2023,Search,Sales_ESP,Marca_Nova_ESP,382,113,2.0,,3.54,564.84,29.58,84.67,58.93
2023-02-01,2023,Demand Gen,Brand_Discovery_DE_NL_CH_BE,Last Minute DE,5238,569,0.0,0.0,0.0,0.0,10.86,,56.54
2023-02-01,2023,Demand Gen,Brand_Discovery_USA,Lisbon Vacations,18167,414,0.0,0.0,0.07,1.0,2.28,,193.14
2023-02-01,2023,Search,Sales_PT,Marca Sta Marta PT,143,52,0.0,0.0,5.77,1.0,36.36,62.45,7.68
2023-02-01,2023,Search,Sales_PT,Marca Liberdade PT,1977,445,16.0,259.78,27.19,35.22,22.51,49.88,81.91
2023-02-01,2023,Demand Gen,Brand_Discovery_UK,Planning_Trip_Lisbon_UK,21401,1094,0.0,0.0,0.1,1.0,5.11,,186.56
2023-03-01,2023,Search,Sales_UK_IE,Marca Liberdade UK,394,99,0.0,0.0,1.01,770.66,25.13,73.73,119.72
2023-03-01,2023,Search,Sales_USA_CA,Marca USA_CA,314,80,0.0,0.0,5.0,840.8,25.48,64.21,129.98
2023-03-01,2023,Search,Sales_FR_BE_CH,Marca_Nova_FR,669,146,0.0,0.0,0.0,0.0,21.82,54.77,58.2
2023-03-01,2023,Search,Restaurant_PT,Restaurante sem gluten,28,6,0.0,0.0,0.0,0.0,21.43,40.0,2.5
2023-03-01,2023,Search,Restaurant_PT,Restaurante perto de mim,1640,240,0.0,0.0,0.0,0.0,14.63,45.16,97.57
